"","srid","is_geographic","has_flipped_axes","spheroid","prime_meridian","datum","projection","unit","axis_1_name","axis_1_orientation","axis_2_name","axis_2_orientation"
"747",2768,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"748",2769,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"749",2770,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"750",2771,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"751",2772,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"752",2773,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"753",2774,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"754",2775,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"755",2776,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"756",2777,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"757",2778,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"758",2779,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"759",2780,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"760",2781,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"761",2782,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"762",2783,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"763",2784,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"764",2785,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"765",2786,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"766",2787,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"767",2788,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"768",2789,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"769",2790,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"770",2791,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"771",2792,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"772",2793,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"773",2794,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"774",2795,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"775",2796,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"776",2797,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"777",2798,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"778",2799,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"779",2800,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"780",2801,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"781",2802,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"782",2803,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"783",2804,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
